YEAR,Number
2023,1
2022,13
2021,88
2020,81
2019,18
2018,4
2017,3
2016,6
2015,7
2014,8
2013,4
2012,3
2011,4
2010,2
2009,3
2008,1
2007,2
2005,1
2003,1
2001,1
2000,1
1982,1
